numUsuario,periodo,anio,lecturaActual,consumoMedidor,precio,importeConsumo,coutaFija,recargos,cooperacion,bonificaciones,sanciones,varios,totalPagar,fechaPAgo,notas,aviso,status
056,6,2019,2414,17,4,68,40,0,0,0,0,0,108,NULL,,"Sin aviso",0
057,4,2019,9656,9,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
057,5,2019,9667,11,4,44,0,0,0,0,0,0,44,2019-10-06,,,1
057,6,2019,9675,8,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
058,4,2019,3193,18,4,72,0,0,0,0,0,0,72,2019-09-28,,,1
058,5,2019,3214,21,4,84,0,0,0,0,0,0,84,2019-10-06,,,1
058,6,2019,3232,18,4,72,40,0,0,0,0,0,112,NULL,,"Sin aviso",0
059,4,2019,1443,46,4,184,0,0,0,0,0,0,184,2019-09-21,,,1
059,5,2019,1484,41,4,164,0,0,0,0,0,0,164,2019-10-06,,,1
059,6,2019,1513,29,4,116,40,0,0,0,0,0,156,NULL,,"Sin aviso",0
"060 ",4,2019,528,22,4,88,0,0,0,0,0,0,88,2019-09-21,,,1
"060 ",5,2019,553,25,4,100,0,0,0,0,0,0,100,2019-10-06,,,1
060,6,2019,573,20,4,80,40,0,0,0,0,0,120,2019-11-16,,"Sin aviso",1
061,4,2019,686,0,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
061,5,2019,686,0,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
061,6,2019,687,1,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
062,4,2019,1572,8,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
062,5,2019,1581,9,4,0,40,0,0,0,50,0,90,2019-10-06,"FALTO REUNION 14 SEPT",,1
062,6,2019,1590,9,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
063,4,2019,368,18,4,72,0,0,0,0,0,0,72,2019-09-21,,,1
063,5,2019,389,21,4,84,0,0,0,0,50,0,134,2019-10-06,"FALTO REUNION 14 SEPT",,1
063,6,2019,407,18,4,72,40,0,0,0,0,0,112,NULL,,"Sin aviso",0
064,4,2019,1403,8,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
064,5,2019,1417,14,4,56,0,0,0,0,50,0,106,2019-10-06,"FALTO REUNION 14 SEPT",,1
064,6,2019,1433,16,4,64,0,0,0,0,0,0,64,NULL,,"Sin aviso",0
065,4,2019,3636,38,4,152,0,0,0,0,0,0,152,2019-09-28,,,1
065,5,2019,3679,43,4,172,0,0,0,0,0,0,172,2019-10-06,,,1
065,6,2019,3715,36,4,144,0,0,0,0,0,0,144,NULL,,"Sin aviso",0
066,4,2019,227,24,4,96,0,0,0,0,0,0,96,2019-09-21,,,1
066,5,2019,251,24,4,96,0,0,0,0,50,0,146,2019-10-06,"FALTO REUNION 14 SEPT",,1
066,6,2019,267,16,4,64,0,0,0,0,0,0,64,2019-11-16,,"Sin aviso",1
067,4,2019,299,9,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
067,5,2019,315,16,4,64,0,0,0,0,0,0,64,2019-10-06,,,1
067,6,2019,322,7,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
068,4,2019,2850,16,4,64,0,0,0,0,0,0,64,2019-09-21,,,1
068,5,2019,2867,17,4,68,0,0,0,0,50,0,118,2019-10-06,"FALTO REUNION 14 SEPT",,1
068,6,2019,2884,17,4,68,40,0,0,0,0,0,108,NULL,,"Sin aviso",0
069,4,2019,2750,6,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
069,5,2019,2757,7,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
069,6,2019,2762,5,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
070,4,2019,1577,27,4,108,0,0,0,0,0,0,108,2019-09-28,,,1
070,5,2019,1616,39,4,156,0,0,0,0,0,0,156,2019-10-06,,,1
071,4,2019,2915,21,4,84,0,0,0,0,0,0,84,2019-09-28,,,1
071,5,2019,2934,19,4,76,0,0,0,0,0,0,76,2019-10-06,,,1
